Observatoire des territoires - ANCT; ; ; ; ; ; ; ; ; ; 
Référentiel géographique : Communes (2024); ; ; ; ; ; ; ; ; ; 
Code;Libellé;Nombre d'Arrêtés de Catastrophes Naturelles publiés au J.O.;Evolution Surface agricole utilisée (SAU) (2010-2020) 2020;Part des surfaces selon l’occupation du sol 2018;Part des surfaces selon l’occupation du sol 2018;Part des surfaces selon l’occupation du sol 2018;Part des surfaces selon l’occupation du sol 2018;Superficie 2021;Consommation d'espaces naturels, agricoles et forestiers (ENAF) entre le 1er janvier 2009 et le 1er janvier 2023;Population au dernier recensement 2021
01079;Champagne-en-Valromey;2;14.5;2.9;0;14.5;82.6;18.2;7.3;826
01080;Champdor-Corcelles;1;17.5;4.4;0.5;55.3;39.8;31.5;6;645
01081;Champfromier;1;7;2;0;91;7;32.4;4.4;718
01082;Chanay;1;-6.4;3;0;76.1;19.1;18.1;2.5;616
01083;Chaneins;3;-28.1;5.9;0;9.7;84.4;12.6;13.6;1003
01084;Chanoz-Châtenay;1;-5.1;3.2;0;8.2;85.3;13.4;15.7;931
01085;La Chapelle-du-Châtelard;1;-0.7;0;0;6.8;91;13.4;2.3;394
01087;Charix;1;33.3;2.3;0;76.5;21.2;18.3;1.3;279
01088;Charnoz-sur-Ain;2;94.6;9.4;0;11.9;67.2;6.6;6.2;898
01089;Château-Gaillard;8;11.4;21.3;0;9.7;69;16.1;69.4;2287
01090;Châtenay;0;-10.7;0;0;23.4;67;14.9;3;360
01092;Châtillon-la-Palud;5;49.5;8.7;0;46.2;34.9;14;9.1;1649
01093;Châtillon-sur-Chalaronne;6;-9.3;19.4;0;0.2;80.4;18;56;5059
01094;Chavannes-sur-Reyssouze;8;9.9;0;0;7.2;92.8;16.6;12.6;767
01095;Nivigne et Suran;2;12.3;0.9;0;59.2;39.9;31;4.2;832
01096;Chaveyriat;1;-12.9;4.5;0;16.3;79;16.9;15.9;1036
01098;Chazey-Bons;6;-12.8;5.1;4.7;42.9;46;15.4;16.6;1188
01099;Chazey-sur-Ain;4;-16.3;9.2;0;14.4;73.2;22;49.9;1600
01100;Cheignieu-la-Balme;1;-31;4;0;75.2;20.8;6.3;0.1;131
01101;Chevillard;2;-11.3;0;0;64.5;35.5;6.7;0.2;150
01102;Chevroux;2;-2.4;2.7;0;8.1;89.2;17.2;13.9;973
01103;Chevry;0;142.7;17.8;0;12.9;69.3;5.8;16.1;2261
01104;Chézery-Forens;1;25.5;0.6;0;86.6;12.8;46.6;3;445
01105;Civrieux;1;-29;3.6;0;9.6;84.3;19.8;39.2;1916
01106;Cize;1;-16.8;5.6;0;53.5;36.5;4.5;0.7;176
01107;Cleyzieu;1;26.9;0;0;63;37;7.8;0.2;140
01108;Coligny;1;64.7;6.1;0;37.2;56.8;16.9;11.1;1227
01109;Collonges;2;22.2;5.2;3.4;60.4;29;16.2;11.2;2249
01110;Colomieu;1;-70.7;0;0;63.4;36.6;6;0.4;163
01111;Conand;1;N/A - résultat non disponible;0;0;83.7;16.3;15.3;0.1;135
01112;Condamine;1;75.4;8.4;0;60.9;30.8;4.6;4.2;473
01113;Condeissiat;0;16.6;4.8;0;9.3;76.3;21.6;11.2;815
01114;Confort;1;-48.1;2.8;0;70.5;26.7;11.7;5.4;685
01115;Confrançon;3;-5.3;5.1;0;7.2;87.7;18.2;11.6;1348
01116;Contrevoz;1;15.5;3.4;0;62.9;33.8;14.2;0.9;493
01117;Conzieu;1;N/A - résultat non disponible;2.9;0;61.2;32.2;7.2;0.9;149
01118;Corbonod;3;13.5;1.6;0;75.9;21;31.6;13.7;1296
01121;Corlier;0;10.7;0;1;57;42;5.4;0.7;117
01123;Cormoranche-sur-Saône;4;88.6;11.4;0;23.9;51;9.8;34;1162
01124;Cormoz;4;-6.1;3.4;0;8.9;87.7;19.6;20.8;703
01125;Corveissiat;2;21.7;1.9;0;57;37.8;22.7;1.9;596
01127;Courmangoux;6;-25;3.7;0;49.2;47.1;14.8;2.1;504
01128;Courtes;3;0.8;0.6;0;10.4;89;9.1;6.6;297
01129;Crans;0;-45.7;0;0;44.6;52.7;13.2;5.6;306
01130;Bresse Vallons;3;-15.2;8.5;0;15.9;75.6;26;46.1;2380
01133;Cressin-Rochefort;5;16.7;0;0;47.9;37.2;7.9;44;389
01134;Crottet;8;-6.2;17.3;0;7.9;74.2;12.1;29.2;1818
01135;Crozet;1;-82.9;8.3;0;75.2;16.5;27.5;13.9;2288
01136;Cruzilles-lès-Mépillat;3;-14.8;3.9;0;0;96.1;11.8;11.7;943
01138;Culoz-Béon;3;-1.8;9.9;6.9;57.3;21.4;29.7;22.1;3426
01139;Curciat-Dongalon;2;1.2;1.8;0;2.1;96.1;23.9;4.3;451
01140;Curtafond;2;0.9;4.5;0;13.6;81.9;12.4;6.5;784
01141;Cuzieu;1;0;13.7;0;42.8;43.5;4.9;3.3;433
01142;Dagneux;4;49.8;42.8;0;14.8;42.4;6.7;18.1;4753
01143;Divonne-les-Bains;5;8.2;19.1;1.2;54.8;23.8;33.9;49.7;10137
01145;Dompierre-sur-Veyle;0;20.1;1.6;0;26.7;62.8;29.1;7.2;1207
01146;Dompierre-sur-Chalaronne;0;-23.4;7.4;0;8.7;83.9;4.8;9.4;437
01147;Domsure;3;20.6;1.8;0;15.6;82.6;15.2;14.1;526
01148;Dortan;7;-39.4;5.3;0;57.2;32.5;18.1;23;1953
01149;Douvres;8;13.6;14.2;0;43.9;41.9;5.3;7.7;1094
01150;Drom;1;15.6;3.2;0;51;45.7;7.8;1.4;215
01151;Druillat;1;21.2;9.3;0;34.6;54.8;20.7;8.7;1139
01152;Échallon;2;77.6;2.7;0;80.2;17.1;28.1;5.1;765
01153;Échenevex;2;-65.3;12.4;0;58.2;29.4;16.4;12.4;2127
01155;Évosges;1;11;0;0;70.8;29.2;12.1;1.8;142
01156;Faramans;2;-10.8;4.1;0;18.9;70.5;11.2;8.4;877
01157;Fareins;14;-56.5;29.9;0;0;64.7;8.2;35.2;2431
01158;Farges;0;N/A - résultat non disponible;3.6;0;64.2;32.3;14.3;8.1;1058
01159;Feillens;8;-10.8;22.5;0;6.5;67.3;14.9;34.7;3381
01160;Ferney-Voltaire;5;10.9;41.8;0;16.6;41.6;4.8;12.2;10920
01162;Flaxieu;0;8.3;0;42.8;16.2;41;2.8;1.9;64
01163;Foissiat;5;-0.6;2.2;0;11.6;85.7;40.4;17.4;2014
01165;Francheleins;3;70.2;6.6;0;0;93.4;13.6;7.4;1585
01166;Frans;6;3.3;18.8;0;0;81.2;8;15;2482
01167;Garnerans;5;117.9;9.2;0;0.7;88.4;8.6;7.4;658
01169;Genouilleux;4;-18.2;8.6;0;4.5;82.7;4.1;4.8;650
01170;Béard-Géovreissiat;4;-57.7;20.6;0;45.2;34.2;4.7;7.9;1048
01171;Géovreisset;2;N/A - résultat non disponible;17.1;0;75;7.9;3.3;2.1;835
01173;Gex;3;-8.5;13.6;0;66;20.4;32;30.5;13078
01174;Giron;1;-42.4;3.9;0;73.3;22.8;9.4;2.2;176
01175;Gorrevod;5;-37.6;5.8;0;8.6;85.7;6.9;7.8;786
01177;Grand-Corent;1;22.2;4.9;0;79.9;15.2;7.1;0.3;184
01179;Grièges;9;-20.6;13.6;0;6.4;74.1;14.9;19.8;1901
01180;Grilly;1;-22;7.6;0;26.8;65.6;7.5;6.2;864
01181;Groissiat;1;6.9;17.2;0;58;24.8;6.3;5.9;1230
01183;Guéreins;11;0.2;28;0;7.5;60;4.5;14.8;1495
01184;Hautecourt-Romanèche;2;6.7;5.2;0;58.5;32.9;21.6;2.4;758
01185;Plateau d'Hauteville;3;-2.5;3.8;0.2;65.6;30.4;106.1;39.1;4807
01187;Haut Valromey;1;13.6;0.3;0;75.8;23.9;107.8;5.1;609
01188;Illiat;1;-0.5;1.5;0;17.9;80.5;20.4;3.3;689
01189;Injoux-Génissiat;3;28.5;5.3;0;62.2;31.9;29.6;7.8;1123
01190;Innimond;1;8.5;0;0;66.6;33.4;13.4;0.3;89
01191;Izenave;0;37.1;2.1;0;69;28.9;13;0.2;155
01192;Izernore;2;31.9;8;1.4;46.6;43.9;20.9;21.3;2267
01193;Izieu;1;3.1;0;0;70.5;26;7.7;9.5;222
01194;Jassans-Riottier;9;55.4;55;0;7.2;27.8;4.8;8.8;6355
01195;Jasseron;7;4.9;12;0;54.8;33.1;18.9;16.8;1861
01196;Jayat;10;-20.2;8.1;0;0;88.5;16.3;11.9;1259
01197;Journans;2;0;10.5;0;52.9;36.6;2.4;2.3;380
01198;Joyeux;0;-2.3;0;0;16.7;59.8;16.6;1.1;262
01199;Jujurieux;6;-42.4;5.5;0;50.8;42.8;15.4;12.5;2124
01200;Labalme;1;15.9;2.9;0;71;26.1;8.8;0.5;210
01202;Lagnieu;7;5.6;15.4;0;30.8;51.2;27.2;43.4;7268
01203;Laiz;4;4.7;11.3;0;0;88.7;10.3;13.3;1299
01204;Le Poizat-Lalleyriat;3;32.6;3.6;0;77.9;17.2;33.1;6.7;746
01206;Lantenay;0;0;4.5;0;49.4;46.1;6.6;0.9;270
01207;Lapeyrouse;1;9.6;0.2;0;0.6;65.7;20;3.8;326
01208;Lavours;1;93.3;10.7;5.2;36.1;35.8;6.3;30.1;136
01209;Léaz;2;-26.2;4.6;0;55.8;36.1;11.4;7.3;817
01210;Lélex;1;-45;2;0;87.7;10.3;17.6;1.9;230
01211;Lent;0;0.2;2.6;0;36.5;54.8;31.5;14.3;1408
01212;Lescheroux;6;-0.4;2.9;0;6.9;87.7;20;12.5;714
01213;Leyment;2;-12.4;10.2;0;23.6;66.2;14.2;7.9;1392
01214;Leyssard;0;N/A - résultat non disponible;0;0;62.6;37.4;9.1;1;163
01215;Surjoux-Lhopital;0;-68.2;0;0;62.5;34.6;8;2.2;141
01216;Lhuis;2;8;2.9;0;59.3;35.5;24.4;7.1;892
01219;Lompnas;1;34.4;0;0;66.8;33.2;12.7;1;163
01224;Loyettes;3;0.2;9.3;6;8.6;71.7;21.3;17.9;3381
01225;Lurcy;6;-36.6;9.7;0;0;88.5;4.8;3;393
01227;Magnieu;0;-5.2;0.1;0.6;40.5;56.4;11.4;11.2;655
01228;Maillat;4;10.9;7.1;0;56.8;36.1;11.3;7.3;679
01229;Malafretaz;3;7.3;12.8;0;6.1;69.1;9.2;12.4;1214
01230;Mantenay-Montlin;2;7.7;3;0;7.9;89.1;10.8;3.3;308
01231;Manziat;7;-30.6;16.3;0;9.2;74.4;12.6;21.8;1955
01232;Marboz;4;-6.8;3.4;0;13.7;82.9;40.1;22.5;2268
01233;Marchamp;0;-18.7;0;0;67.4;32.6;13.1;0.4;132
01234;Marignieu;1;3.6;0;0;42.6;57.4;3.5;0.6;167
01235;Marlieux;3;11.1;3;0;7;69.5;16.9;8.7;1182
01236;Marsonnas;3;-2.6;3.2;0;8.9;87.9;18.4;7.7;1030
01237;Martignat;2;3.1;7.5;0;74;18.5;13.2;6.6;1671
01238;Massieux;15;-47.8;49.4;0;0;45.3;3.1;8.2;2721
01239;Massignieu-de-Rives;1;-16.7;2.8;0;34.2;54;9.5;13.7;642
01240;Matafelon-Granges;0;-54.6;1.5;0.1;65.1;24.8;21.5;1.7;629
01241;Meillonnas;7;-15.7;4.1;0;41.5;54.3;17.7;15.2;1383
01242;Mérignat;2;28.6;0;0;48.4;51.6;3.2;0.2;136
01243;Messimy-sur-Saône;11;46.4;18.4;0;0;75.4;6;9.4;1288
01244;Meximieux;10;-70.6;29.6;0;8.7;61.5;13.8;33.6;8085
01245;Bohas-Meyriat-Rignat;4;-8.6;1.1;0;46.4;52.5;23.5;8.8;965
01246;Mézériat;6;-17.4;9.4;0;2.4;88.2;19.2;18.2;2192
01247;Mijoux;1;220;4;0;79.7;16.3;22;5.9;297
01248;Mionnay;1;46.4;9.3;1.2;14;72.9;19.6;45;2227
01249;Miribel;9;13.3;19.5;1.9;8.9;65.8;24.5;30.6;10225
01250;Misérieux;4;9.4;12.2;0;8.8;78.9;7.4;5.8;1994
01252;Mogneneins;2;30.3;9.1;0;6.3;82.1;8.6;3.3;803
01254;Montagnat;2;-17.5;13.8;0;35;51.2;13.8;37;2145
01255;Montagnieu;3;393.3;10.7;0;44.6;43.4;6.2;5.1;666
01257;Montanges;1;83.4;2.2;0;77.4;20.5;13.7;2.5;350
01258;Montceaux;3;-2.5;7;0;7;86;10;14.5;1198
01259;Montcet;1;38.7;5.7;0;5.3;89;6.7;7.2;704
01260;Le Montellier;0;11.9;0;0;31;57.3;15.4;4.4;319
01261;Monthieux;1;-35.8;20.5;0;1;60.1;10.8;3.4;682
01262;Montluel;8;4.4;5.8;0;23.9;64.9;40.1;8.9;6838
01263;Montmerle-sur-Saône;9;166.7;64.3;0;7.7;13.5;4.2;14.4;3792
01264;Montracol;0;7.9;4.6;0;20;73.1;14.6;7.1;1008
01265;Montréal-la-Cluse;5;1;18;0;69.2;12.8;12.8;31.9;3541
01266;Montrevel-en-Bresse;3;-4.7;17.1;0;6.2;76.7;10.3;9;2578
01267;Nurieux-Volognat;3;-39.5;6.4;0;53.8;39.8;19.3;6.5;990
01268;Murs-et-Gélignieux;1;-45;0;0;46.6;30.7;6.5;1.6;240
01269;Nantua;4;N/A - résultat non disponible;10.2;0;75.8;4;12.8;14.7;3449
01272;Neuville-les-Dames;3;6.3;2.6;0;8.9;87.1;26.6;14.8;1515
01273;Neuville-sur-Ain;2;-11.8;5.3;0;34.9;57.4;19.8;11.5;1799
01274;Les Neyrolles;1;N/A - résultat non disponible;9;0;77.9;13;9.5;1.7;632
01275;Neyron;4;-57.3;46.9;0;9.2;42;5.4;9.8;2538
01276;Niévroz;4;18;19.9;0;10.2;66.3;10.5;18.9;1634
01277;Nivollet-Montgriffon;1;6.3;0;0;51;49;8.2;1.2;115
01279;Oncieu;1;-2.1;0.2;0;95.4;4.4;7.8;0.2;73
01280;Ordonnaz;1;-2.4;0;0;62.8;37.2;14.9;1.4;141
01281;Ornex;0;-11.8;31;0;13.8;55.2;5.6;13.5;4690
01282;Outriaz;1;32.4;4.8;0;58.7;36.5;5.9;3.8;255
01283;Oyonnax;7;3.4;23.5;0;60.3;16.3;36.2;58.9;22277
01284;Ozan;4;23;6.6;0;13.1;80.3;6.6;15.7;725
01285;Parcieux;9;43.8;24.5;0;6;64.7;3.1;3.8;1319
01286;Parves et Nattages;3;0;5.4;0;41.6;51.2;15.9;9.6;955
01288;Péron;2;24.2;5.7;0;55.9;38.4;26;21.8;2838
01289;Péronnas;8;4.6;22.9;0;36.7;36.3;17.6;34.4;6448
01290;Pérouges;2;49.8;9.5;0;3;87.5;19;9.4;1346
01291;Perrex;6;-4.7;8.6;0;7.3;84.1;11.1;12.2;852
01293;Peyriat;0;67.4;4.1;0;51.3;44.6;6;0.6;148
01294;Peyrieu;2;-3.7;7;0;36.1;51;14.1;20.1;908
01295;Peyzieux-sur-Saône;3;8.9;3.9;0;17.3;77.6;8.7;5.3;666
01296;Pirajoux;1;-26.3;0;0;12.6;87.4;13;6.3;407
01297;Pizay;1;-31.1;3.6;0;42.4;54;11.2;5.3;914
01298;Plagne;1;-3.7;0;0;71.1;28.9;6.2;1.3;161
01299;Le Plantay;1;43;2.7;0;7.7;71.6;20;2.5;579
01301;Polliat;2;3.1;10.9;0;14.3;74.8;20.1;25.6;2648
01302;Pollieu;0;300;0;35.9;24.2;34.2;3.7;1.3;168
01303;Poncin;4;15.6;7.5;0;48.8;39.4;19.8;7.8;1729
01304;Pont-d'Ain;5;-14.7;28.6;0;8.8;52.4;11.2;49;2871
01305;Pont-de-Vaux;17;-38.7;25.3;0;0;69.7;7.5;10;2189
01306;Pont-de-Veyle;4;16.9;27.5;0;0;72.5;1.9;1;1629
01307;Port;5;N/A - résultat non disponible;14.2;0;59.6;25.7;4.2;1.7;843
01308;Pougny;1;-30.2;11.8;9.7;26.6;46.4;7.8;2.6;796
01309;Pouillat;2;117.5;0;0;64;36;6.2;0.3;81
01310;Prémeyzel;1;9.9;3.4;5.1;60.7;30.7;7.6;0.9;247
01311;Prémillieu;1;1;0;0;74.5;25.5;8.5;0.2;44
01313;Prévessin-Moëns;2;-13.2;31.6;0;10.7;57.7;12.1;28.2;9063
01314;Priay;8;39.3;8.3;0;48.1;38.4;15.8;14.8;1764
01317;Ramasse;0;709.1;0;0;66.1;33.9;9.9;4.4;331
01318;Rancé;4;-24.9;7.8;0;12.1;80.2;9.5;7.6;741
01319;Relevant;2;-31.8;2.3;0;4.6;88.4;12.4;3.7;467
01320;Replonges;9;-12.4;23.3;0;4.1;69.4;16.6;31.5;3899
01321;Revonnas;2;5;8;0;33.2;58.8;7.8;4.4;896
01322;Reyrieux;9;-7.3;23;0;8.4;67.3;15.7;33.1;5098
01323;Reyssouze;5;23;7.8;0;3.1;87.4;9.5;16.5;1010
01325;Rignieux-le-Franc;2;24.4;3.3;0;26.7;66.7;15;8.7;1098
01328;Romans;0;24.4;1.1;0;13.5;85.4;22.3;5;617
01329;Rossillon;2;N/A - résultat non disponible;0.2;0;78.6;21.1;8.1;1;160
01330;Ruffieu;1;-62.4;2.1;0;62.5;35.5;14;0.4;177
01331;Saint-Alban;1;3.7;3.2;0;52.7;44.1;8.1;0.9;192
01332;Saint-André-de-Bâgé;2;-39.1;34.4;0;0;65.6;2.7;13.3;809
01333;Saint-André-de-Corcy;4;-21.8;9.4;0;14.1;70.9;20.7;15.2;3368
01334;Saint-André-d'Huiriat;1;-42.6;2.9;0;0.6;96.5;9;7.2;675
01335;Saint-André-le-Bouchoux;0;-43.6;3.4;0;7.5;68.8;9.3;1.8;418
01336;Saint-André-sur-Vieux-Jonc;2;6.3;3.1;0;17.9;77.1;24.2;8;1211
01337;Saint-Bénigne;11;-0.7;8.7;0;1.1;88.5;16.5;20.9;1343
01338;Groslée-Saint-Benoit;3;-0.7;4.1;0;55.8;34.7;28.9;10.7;1238
01339;Saint-Bernard;12;-91.5;47.6;0;1.6;38.4;3.1;9.3;1497
01342;Sainte-Croix;0;-3.4;3.4;0;34.3;62.3;10.6;1.3;547
01343;Saint-Cyr-sur-Menthon;6;12.6;9.5;0;4;86.5;16.9;16.3;1844
01344;Saint-Denis-lès-Bourg;6;6.1;30.1;0;2.7;63.3;12.6;36.2;6063
01345;Saint-Denis-en-Bugey;4;N/A - résultat non disponible;46.2;0;14.8;39.1;2.6;4.1;2240
01346;Saint-Didier-d'Aussiat;2;-24.7;4.3;0;5.8;89.8;15.2;6.9;850
01347;Saint-Didier-de-Formans;9;-14.2;23.8;0;0;76.2;6.5;22.2;2141
01348;Saint-Didier-sur-Chalaronne;10;-9;10.4;0;0;86.5;25;16;3052
01349;Saint-Éloi;0;25.5;0.2;0;36;62.7;14.3;6.4;524
01350;Saint-Étienne-du-Bois;11;-1.5;4.4;0;21.9;73.7;28.4;19.9;2553
01351;Saint-Étienne-sur-Chalaronne;8;-5.2;5.2;0;8.7;86.1;21;10;1613
01352;Saint-Étienne-sur-Reyssouze;7;5.9;0;0;5.9;94.1;13.8;6.6;581
01353;Sainte-Euphémie;4;56.9;17.7;0;9;73.3;4.6;11.5;1730
01354;Saint-Genis-Pouilly;2;-67.3;49.2;0;5.2;45.6;9.8;67.2;14558
01355;Saint-Genis-sur-Menthon;3;-25.9;5;0;4.4;90.6;11.6;3.2;486
01356;Saint-Georges-sur-Renon;0;-73.8;0;0;13.7;86.2;5.7;0.9;199
01357;Saint-Germain-de-Joux;2;N/A - résultat non disponible;3.5;0;78.1;18.4;11.3;2.2;505
01358;Saint-Germain-les-Paroisses;2;43.1;2;0;65.5;32.5;16.3;2.9;425
01359;Saint-Germain-sur-Renon;1;-38;0;0;15;71.2;15.8;2.9;257
01360;Saint-Jean-de-Gonville;1;-30;12.1;0;53.3;34.6;12.4;12.7;1988
01361;Saint-Jean-de-Niost;1;-2.8;10.9;0;27.9;56.5;14.2;10.9;1826
01362;Saint-Jean-de-Thurigneux;3;28.5;6.1;0;15.7;74.2;16;19.8;829
01363;Saint-Jean-le-Vieux;9;-8.8;12.4;0;24.9;62.2;15.3;10.2;1786
01364;Saint-Jean-sur-Reyssouze;5;8.2;1.6;0;8.3;90.1;27.5;10;767
01365;Saint-Jean-sur-Veyle;5;-1.4;11.5;0;2.2;86.2;11.2;10.5;1159
01366;Sainte-Julie;1;-5.8;14.1;0;10.5;75.3;11.2;10.2;1090
01367;Saint-Julien-sur-Reyssouze;4;32;6.9;0;0.5;92.6;7.5;3;707
01368;Saint-Julien-sur-Veyle;1;24.7;4.8;0;5.4;89.7;9.8;15.1;848
01369;Saint-Just;0;51.3;25.9;0;12.8;61.3;3.4;8.8;954
01370;Saint-Laurent-sur-Saône;6;N/A - résultat non disponible;54.9;0;0;17.2;0.5;0;1659
01371;Saint-Marcel;0;73.6;4.5;0;5.7;64.2;11.6;5.5;1261
01372;Saint-Martin-de-Bavel;1;-14.2;4.8;0;37.6;57.7;8.5;1.6;436
01373;Saint-Martin-du-Frêne;2;-17.5;5.8;0;66.5;27.7;19.1;4.8;1033
01374;Saint-Martin-du-Mont;2;-5.1;7.5;0;32;60.6;28.1;22.3;1899
01375;Saint-Martin-le-Châtel;3;2.5;4.5;0;3;92.4;12.8;3.8;781
01376;Saint-Maurice-de-Beynost;8;16.5;31.3;0;11.1;53.4;7;13.3;4155
01378;Saint-Maurice-de-Gourdans;4;-1.7;9.8;1.9;44.5;39;25.4;20.8;2748
01379;Saint-Maurice-de-Rémens;3;13.4;12.2;0;17.4;66.8;10.3;2.6;756
01380;Saint-Nizier-le-Bouchoux;5;-4.2;2;0;12.1;85.9;28.3;8.8;598
